Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50
0.186447921,0.32495098,0.188475281,0.105838641,0.065656559,0.236578494,0.18779976,0.197357549,0.148979565,0.241102018,0.091304713,0.175381476,0.164458105,0.157257578,0.208534667,0.227822715,0.237851716,0.140895862,0.197803193,0.240494196,0.059552183,0.016746866,0.129559712,0.159973428,0.184775515,0.201502666,0.278533091,0.324343323,0.319615171,0.412326257,0.434229951,0.313683409,0.211102849,0.208843491,0.183144997,0.12725444,0.209206579,0.151023388,0.151514602,0.244881798,0.340523227,0.253435371,0.334845239,0.277111519,0,0.192792713,0.386624515,0.216724933,0.324325628,0.272620047
0.221678999,0.125521339,0.13946369,0.083903792,0.090246011,0.028875305,0.019205575,0.258957444,0.297887916,0.252020913,0.430421827,0.268935801,0.122078355,0.192954685,0.195746665,0.112684199,0.167182045,0.118285401,0.227181089,0.284550183,0.278713328,0.238996845,0.143244621,0.320656053,0.133456192,0.040274539,0.091108931,0.344740071,0.250895088,0.205772145,0.201188426,0.382019542,0.217016618,0.190226376,0.368824662,0.461650859,0.132753461,0.084673713,0.097348268,0.247849746,0.310056059,0.233331088,0.201398815,0,0.157007488,0.229833099,0.227558459,0.14415816,0.047888961,0.175441376
0.216930663,0.290258859,0.211074646,0.14374206,0.107310125,0.183906823,0.208651882,0.197606218,0.178215947,0.137397948,0.198140608,0.20023467,0.169208999,0.316288284,0.257104923,0.043010464,0.152456994,0.219982941,0.230248386,0.312409733,0.217813787,0.212000994,0.21872443,0.246401629,0.33919428,0.37901516,0.395825953,0.280723474,0.214475258,0.051829482,0.115142809,0.187322987,0.156081466,0,0.043107745,0.147195612,0.135420497,0.060673351,0.080078249,0.316492003,0.406422344,0.282090242,0.14617154,0.24924062,0.281111347,0.185347573,0.152285503,0.098474262,0.150995335,0.103338247
0.334974416,0.298165218,0.350513366,0.105265521,0.180791596,0.523761052,0.350714694,0.133895104,0.095622738,0,0.116057215,0.306980875,0.304371774,0.275450403,0.310081333,0.164665157,0.26673071,0.353128774,0.30675179,0.216572665,0.325278757,0.273299021,0.343461926,0.333876225,0.265502438,0.264570839,0.200863659,0.227297524,0.238528747,0.289465067,0.408828472,0.428352723,0.279984682,0.260672616,0.44730725,0.530801172,0.493461666,0.350094949,0.203716576,0.193440914,0.245542868,0.166316058,0.21490497,0.316673174,0.271229222,0.251411732,0.418056365,0.329481813,0.203223049,0.337373847
0.315860173,0.238023951,0.164591666,0.086661238,0.210732682,0.294993626,0.273236414,0.239334242,0.137582038,0.266218583,0.278312105,0.045517975,0,0.169268026,0.088887629,0.066547579,0.047144634,0.060922364,0.253957988,0.320145321,0.18190074,0.122073538,0.248548997,0.282995101,0.34030066,0.373940376,0.336679006,0.320057511,0.175456486,0.299094007,0.292529803,0.218240347,0.073221866,0.165176944,0.306276147,0.107622915,0.142674863,0.172046689,0.290568718,0.279554161,0.299111181,0.273140772,0.12151001,0.221162086,0.213355166,0.124847097,0.161871588,0.182429205,0.195608558,0.258169062
0.47552382,0.284646365,0.185680779,0.391861342,0.417073964,0.256570621,0.177016244,0.326712712,0.221166848,0.089516201,0.117429763,0.083462189,0.155589733,0.375416418,0.361153382,0.25682464,0.263186907,0.268545611,0.189499477,0.242024447,0.304506092,0.081943025,0.136183938,0.359185302,0.322055976,0.119129966,0.191428245,0.15714549,0.326829638,0.363481139,0.417181214,0.22018626,0.141918718,0.337152816,0.410604818,0.60209772,0.248113667,0.218558391,0.29779418,0.201113713,0,0.090217718,0.245861921,0.341394123,0.278165071,0.351479723,0.239190169,0.193581204,0.023404148,0.20772515
0.325900855,0.403810204,0.205152086,0.210828873,0.155800933,0.133721776,0.398427628,0.359466452,0.228061276,0.447593359,0.344922124,0.143960438,0.018778504,0.256083531,0.168866907,0,0.286621735,0.270033686,0.243921895,0.43329407,0.330157666,0.480010316,0.537206526,0.302480832,0.470222217,0.337155234,0.254253731,0.241109631,0.165069841,0.166363629,0.153793298,0.378477187,0.496990142,0.361449675,0.348877148,0.305223467,0.17319065,0.269143962,0.281061077,0.279674569,0.314201344,0.081784441,0.238989165,0.183806604,0.103119785,0.11132937,0.175438942,0.310210549,0.343399356,0.251036497
0.278769033,0.331163654,0.186145444,0.28564942,0.257877768,0.129166993,0.338415003,0.289107497,0.176783354,0.226414634,0.329960607,0.37537068,0.381310046,0.486242724,0.510589285,0.235236368,0.272936403,0.279861884,0.311302968,0.120916106,0.274017702,0.293238882,0,0.109293569,0.141204982,0.202331575,0.339118936,0.364635673,0.226243713,0.152573519,0.322304063,0.41742892,0.279024005,0.122725825,0.127369093,0.415908366,0.158119147,0.217886597,0.300036236,0.31436369,0.364042085,0.410115961,0.243913428,0.341034704,0.581189237,0.317154208,0.148578838,0.064821864,0.147737399,0.186484629
0.070182763,0.335789004,0.223434296,0.176663627,0.274915677,0.380685356,0.211382598,0.465559788,0.33488899,0.013973782,0.172898966,0.457990896,0.312260869,0.329693395,0.209136409,0.260497056,0.234234811,0.113583198,0.288073742,0.327936656,0.293687262,0.331298874,0.249539372,0.22998852,0.309923144,0.289912923,0.51803743,0.316509036,0.319841136,0.279285442,0.289947434,0.351952536,0.262467416,0.207462913,0.203897674,0.230232627,0.344457561,0.04188609,0,0.019662536,0.112052573,0.391726251,0.373411291,0.330670631,0.37120753,0.219329289,0.182880788,0.24518237,0.280259248,0.389504946
0.225294718,0.31952406,0.241371881,0.210818049,0.207096419,0.311301233,0.416413897,0.343407726,0.285938439,0.4626296,0.327534432,0.206995371,0.093992075,0.378912213,0.374454664,0.338715323,0.210804626,0.076571872,0.175362097,0.355239215,0.448121909,0.551603687,0.366572537,0.190873077,0,0.288928864,0.278324572,0.177629522,0.151047689,0.318779301,0.494137158,0.335970134,0.101800889,0.124703375,0.174730291,0.323839431,0.362589543,0.256244914,0.250847892,0.412044254,0.381921427,0.318645864,0.187925196,0.222374705,0.254920669,0.393374258,0.497367444,0.576936972,0.61381464,0.362268363
0.154421428,0.274535881,0.214838772,0.194285947,0.279668023,0.300043744,0.175062532,0.032965673,0.263386345,0.207731693,0.274440214,0.424887504,0.544742045,0.244518349,0.297643228,0.164119914,0.207894123,0.151022815,0.353481775,0.424553854,0.27044771,0.275125101,0.194357371,0.153777505,0.086795913,0.294212841,0.232692426,0.138347287,0.088709724,0,0.067795872,0.094500326,0.001466627,0.248358726,0.235752141,0.119343863,0.03546297,0.107369551,0.139682171,0.284852451,0.180180258,0.065549022,0.245825886,0.275334317,0.22310042,0.156096126,0.272355754,0.224732944,0.209121621,0.109029677
0.301231288,0.188733941,0.213316033,0.401753114,0.521008327,0.497831601,0.51925395,0.424212254,0.438986617,0.369245024,0.468631638,0.4442574,0.297846078,0.384967878,0.304997059,0.29153568,0.362867822,0.577053438,0.561984818,0.36599201,0.348851949,0.188954836,0.026884857,0.239720614,0.479078435,0.388713983,0.147380544,0.26084853,0.285360458,0.394676473,0.502586624,0.567849081,0.489971758,0.532265273,0.488013753,0.500253006,0.450216829,0.312752011,0.068759067,0,0.381324116,0.419731712,0.563751343,0.638234536,0.560024829,0.343542403,0.463322162,0.242848705,0.239345351,0.479205529
0.43371964,0.576402065,0.447770424,0.191334061,0.126373951,0.266024583,0.468515626,0.353859228,0.244574549,0.496188112,0.366694738,0.272817645,0.19699157,0.245859464,0.454966184,0.297813623,0.447920217,0.26949371,0.331035123,0.165689669,0.216325693,0.235990498,0.134952426,0.137419238,0.300103424,0.26121808,0.368185785,0.403847334,0.100924719,0.37135112,0.403621026,0.406932463,0.333292095,0.097804264,0,0.250399787,0.236826831,0.284953093,0.439385163,0.394441858,0.202615885,0.019082925,0.189736068,0.267548166,0.135192478,0.250223748,0.388090652,0.394273014,0.362415177,0.30626948
0.37720454,0.229438642,0.199826047,0.255396061,0.429578686,0.421000185,0.37673021,0.40414865,0.275513487,0.645039582,0.254438485,0.146626147,0.124945949,0.110047444,0.099949649,0.199527461,0.047244471,0.135005086,0.096489466,0.065070051,0.278222055,0.273697596,0.235904688,0.090726824,0.097275089,0.213304695,0.278931848,0.349896437,0.330468986,0.204462992,0.265181963,0.102501677,0.190814381,0.127395115,0.112557023,0.035924159,0.126857323,0.043415974,0.017911411,0.007105151,0,0.167697563,0.430052368,0.258945033,0.102680832,0.126765345,0.253828183,0.171877267,0.055873021,0.076518956
0.413819033,0.44766799,0.37712518,0.3341858,0.666667086,0.508665166,0.407894099,0.450386403,0.500470976,0.355157099,0.374046427,0.314100445,0,0.190710384,0.173297796,0.114052561,0.275543022,0.426039715,0.693630736,0.29591768,0.228373241,0.44466156,0.375316644,0.401047725,0.739945834,0.422028773,0.313785523,0.468043514,0.392518205,0.469770073,0.625977137,0.504407408,0.454647139,0.356362469,0.342672277,0.282864007,0.381120823,0.450384,0.451858011,0.362935921,0.309407628,0.353731134,0.312677812,0.328622475,0.402675034,0.485798291,0.460786039,0.388955306,0.431841401,0.376929487
0.415982371,0.297015303,0.169704539,0.196804719,0.410059656,0.294297408,0.261053111,0.378891995,0.546484381,0.201275876,0.262390545,0.078922726,0.259561966,0.24204661,0.102046819,0.211478991,0.164940756,0.289401325,0.135100563,0.33766119,0.55864929,0.43169304,0.358326763,0.304737152,0.355910404,0.447596484,0.187462044,0,0.277170397,0.533196558,0.455979875,0.474685833,0.523582137,0.455403369,0.321207137,0.263083187,0.31746819,0.229096541,0.098196838,0.236576397,0.208034445,0.292248462,0.395237291,0.526292352,0.506761017,0.477245177,0.316189754,0.042102958,0.136082876,0.450615856
0.533750338,0.425153814,0.326224013,0.127536248,0.114861467,0.193645802,0.3962346,0.396552441,0.36799567,0.537354755,0.62687889,0.54145742,0.174483603,0.11077207,0.283665037,0.110929926,0.214299888,0.326960569,0.155668222,0.267616969,0.252153536,0.338128452,0.302849976,0,0.036578131,0.111172848,0.254980483,0.331469202,0.612867701,0.546292258,0.384455248,0.387022805,0.408520719,0.220331856,0.229520374,0.33818938,0.201659553,0.056973572,0.266531691,0.638089649,0.379476536,0.267304967,0.411066896,0.178421493,0.192247604,0.193540056,0.403736935,0.508813627,0.330678278,0.248034448
0.269625122,0.16919812,0.22703069,0.442352061,0.424581971,0.419252937,0.571892554,0.491424138,0.151494714,0.459200814,0.456260387,0.308883452,0.301672821,0.046175567,0.118783162,0.183877285,0.350362791,0.496284827,0.358681926,0.233294362,0.137786885,0.113213812,0.156730198,0.461573212,0.164370417,0.366371946,0.503492127,0.211303175,0.219889724,0.200280141,0,0.234168415,0.51061418,0.448759034,0.381183606,0.155022154,0.430662479,0.267098356,0.0369993,0.225181109,0.348603623,0.60271264,0.657858175,0.4169008,0.413951028,0.45472915,0.620856228,0.298044901,0.253701582,0.322229676
0.378047769,0.521472955,0.624465511,0.196583704,0.563106834,0.324995213,0.569443352,0.509615955,0.391848117,0.627560998,0.356645333,0.342066215,0.320536992,0.207355524,0.322966499,0.633769727,0.548426811,0.246223443,0.191175556,0.501073852,0.407972589,0.418486842,0.578299913,0.4377256,0,0.168945099,0.193255734,0.42480304,0.501578423,0.637768403,0.575203459,0.563166988,0.614593359,0.747306468,0.939272366,0.77309253,0.666317779,0.312367877,0.254282536,0.374896968,0.523715429,0.493744827,0.308082446,0.581340159,0.549877757,0.508789647,0.466700591,0.60732852,0.599475634,0.446689899
